subject_id	subject_label	predicate_id	object_id	object_label	object_category	mapping_justification	comment	mapping_group
C26686	ABSCESS	skos:exactMatch	44132006	Abscess morphology	Observation | Morph Abnormality	semapv:ManualMappingCuration		1
C120859	ACCESSORY TISSUE	skos:exactMatch	91431006	Supernumerary structure	Observation | Morph Abnormality	semapv:ManualMappingCuration		1
C120860	ACCUMULATION	skos:narrowMatch	31226005	Bioaccumulation	Observation | Observable Entity	semapv:ManualMappingCuration	An increase of substance (e.g., proteinaceous fluid and glycogen) in either the intracellular space, extracellular space, or within a hollow organ or structure.	3
C120860	ACCUMULATION	skos:narrowMatch	125415002	Cytoplasmic accumulation	Observation | Morph Abnormality	semapv:ManualMappingCuration	An increase of substance (e.g., proteinaceous fluid and glycogen) in either the intracellular space, extracellular space, or within a hollow organ or structure.	2
C120860	ACCUMULATION	skos:narrowMatch	17672001	Accumulation of fluid	Observation | Morph Abnormality	semapv:ManualMappingCuration	An increase of substance (e.g., proteinaceous fluid and glycogen) in either the intracellular space, extracellular space, or within a hollow organ or structure.	1
C120860	ACCUMULATION	skos:broadMatch	35105006	Increased	Meas Value | Qualifier Value	semapv:ManualMappingCuration	An increase of substance (e.g., proteinaceous fluid and glycogen) in either the intracellular space, extracellular space, or within a hollow organ or structure.	4
C132483	ACCUMULATION, ADIPOCYTES	skos:exactMatch	35105006	Increased	Meas Value | Qualifier Value	semapv:ManualMappingCuration		1
C132483	ACCUMULATION, ADIPOCYTES	skos:exactMatch	24826007	Adipocyte	Spec Anatomic Site | Body Structure	semapv:ManualMappingCuration		1
C174382	ACCUMULATION, FIBRIN	skos:exactMatch	16080000	Fibrin deposition	Observation | Morph Abnormality	semapv:ManualMappingCuration		1
C181557	ACCUMULATION, HYALINE DROPLETS					NotDone	NotDone	
C6996	ADENOMYOSIS	skos:exactMatch	76376003	Endometriosis of uterus	Condition | Clinical Finding	semapv:ManualMappingCuration		1
C120861	ADENOSIS	skos:exactMatch	57597008	Adenosis	Observation | Morph Abnormality	semapv:ManualMappingCuration		1
C54685	ADHESION	skos:exactMatch	42685002	Adhesion	Observation | Morph Abnormality	semapv:ManualMappingCuration		1
C174378	ADIPOSE TISSUE, DECREASED	skos:exactMatch	248314009	Loss of body fat - finding	Condition | Clinical Finding	semapv:ManualMappingCuration		1
C174379	ADIPOSE TISSUE, INCREASED	skos:exactMatch	248301008	Increase in body fat	Condition | Clinical Finding	semapv:ManualMappingCuration		1
C120862	ADNEXAL DYSPLASIA	skos:exactMatch	25723000	Dysplasia	Observation | Morph Abnormality	semapv:ManualMappingCuration		1
C120862	ADNEXAL DYSPLASIA	skos:exactMatch	23043003	Uterine adnexae structure	Spec Anatomic Site | Body Structure	semapv:ManualMappingCuration		1
C62344	AGGREGATE	skos:exactMatch	47286004	Aggregation	Condition | Clinical Finding	semapv:ManualMappingCuration		1
C176398	AGGREGATES, INCREASED					NotDone	NotDone	
